Nation,Nation_rank
ENG,1.0
POR,0.9480775143391714
NOR,0.8988509731955419
FRA,0.8521803964285746
BRA,0.8079330720145728
NED,0.7659831786679869
CAN,0.7262114280571625
BEL,0.6885047255971347
USA,0.6527558488549048
TUR,0.618863142652714
NGA,0.5867302300023132
CZE,0.5562657380482434
UKR,0.5273830382408233
COL,0.5
SWE,0.47403875716958577
GRE,0.449425486597771
MLI,0.4260901982142873
DEN,0.4039665360072864
URU,0.38299158933399347
SCO,0.3631057140285813
BFA,0.3442523627985673
CRO,0.3263779244274524
RUS,0.309431571326357
ESP,0.2933651150011566
AUT,0.2781328690241217
ZAM,0.26369151912041167
JPN,0.25
HUN,0.23701937858479283
MAR,0.2247127432988855
ECU,0.21304509910714364
ALB,0.20198326800364322
ALG,0.19149579466699673
GAM,0.1815528570142906
VEN,0.17212618139928368
LUX,0.1631889622137262
IRN,0.15471578566317848
FIN,0.1466825575005783
SVN,0.13906643451206085
PAR,0.13184575956020586
ZIM,0.125
PER,0.11850968929239641
ISR,0.11235637164944275
HON,0.10652254955357182
UZB,0.10099163400182161
GEO,0.09574789733349837
KEN,0.0907764285071453
GHA,0.08606309069964184
PAN,0.0815944811068631
GNB,0.07735789283158924
BDI,0.07334127875028915
KVX,0.06953321725603043
MDA,0.06592287978010293
TOG,0.0625
COM,0.05925484464619823
TRI,0.05617818582472135
GRN,0.05326127477678591
MTQ,0.050495817000910805
NZL,0.04787394866674917
GLP,0.04538821425357265
BEN,0.04303154534982092
NIR,0.04079724055343156
AUS,0.03867894641579462
CMR,0.03667063937514457
ANG,0.03476660862801523
TUN,0.03296143989005145
CGO,0.03125
CUW,0.029627422323099114
GUF,0.028089092912360676
KAZ,0.026630637388392955
LTU,0.025247908500455402
CPV,0.023936974333374585
MAS,0.022694107126786326
SLE,0.02151577267491046
MKD,0.02039862027671578
LVA,0.01933947320789731
ITA,0.018335319687572287
ROU,0.017383304314007614
BLR,0.016480719945025726
IRL,0.015625
BUL,0.014813711161549557
ARM,0.014044546456180338
POL,0.013315318694196478
IRQ,0.012623954250227701
MAD,0.011968487166687292
COD,0.011347053563393163
CHA,0.01075788633745523
WAL,0.01019931013835789
CHI,0.009669736603948655
CYP,0.009167659843786143
MNE,0.008691652157003807
GAB,0.008240359972512863
EQG,0.0078125
JAM,0.0074068555807747785
SVK,0.007022273228090169
BIH,0.006657659347098239
CTA,0.006311977125113851
MEX,0.005984243583343646
ARG,0.0056735267816965815
GUI,0.005378943168727615
SUI,0.005099655069178945
EGY,0.0048348683019743275
CIV,0.004583829921893072
SRB,0.0043458260785019034
SEN,0.004120179986256431
GER,0.00390625
